numberOfValidLeukemicCells;numberOfValidTCells;numberOfinteractions;pourcentageOfValidLeukemicCells;pourcentageOfValidTCells;pourcentageOfInteractions
228;243;183;75.0;79.93421052631578;60.19736842105263
229;244;185;75.32894736842105;80.26315789473685;60.85526315789473
230;245;186;75.6578947368421;80.5921052631579;61.18421052631579
231;246;187;75.98684210526315;80.92105263157895;61.51315789473685
232;247;189;76.31578947368422;81.25;62.17105263157895
233;248;190;76.64473684210526;81.57894736842105;62.5
234;249;192;76.97368421052632;81.9078947368421;63.1578947368421
235;250;194;77.30263157894737;82.23684210526315;63.81578947368421
236;251;196;77.63157894736842;82.56578947368422;64.47368421052632
237;252;196;77.96052631578947;82.89473684210526;64.47368421052632
238;253;196;78.28947368421053;83.22368421052632;64.47368421052632
239;254;198;78.61842105263158;83.55263157894737;65.13157894736842
240;255;200;78.94736842105263;83.88157894736842;65.78947368421053
241;256;201;79.27631578947368;84.21052631578947;66.11842105263158
242;257;202;79.60526315789474;84.53947368421053;66.44736842105263
243;258;203;79.93421052631578;84.86842105263158;66.77631578947368
244;259;204;80.26315789473685;85.19736842105263;67.10526315789474
245;260;206;80.5921052631579;85.52631578947368;67.76315789473685
246;261;208;80.92105263157895;85.85526315789474;68.42105263157895
247;262;209;81.25;86.18421052631578;68.75
248;263;211;81.57894736842105;86.51315789473685;69.4078947368421
249;264;213;81.9078947368421;86.8421052631579;70.06578947368422
250;265;214;82.23684210526315;87.17105263157895;70.39473684210526
251;266;216;82.56578947368422;87.5;71.05263157894737
252;267;216;82.89473684210526;87.82894736842105;71.05263157894737
253;269;218;83.22368421052632;88.48684210526315;71.71052631578947
254;270;220;83.55263157894737;88.81578947368422;72.36842105263158
258;271;221;84.86842105263158;89.14473684210526;72.69736842105263
259;272;223;85.19736842105263;89.47368421052632;73.35526315789474
260;273;224;85.52631578947368;89.80263157894737;73.68421052631578
261;274;226;85.85526315789474;90.13157894736842;74.3421052631579
262;275;228;86.18421052631578;90.46052631578947;75.0
263;276;229;86.51315789473685;90.78947368421053;75.32894736842105
264;277;231;86.8421052631579;91.11842105263158;75.98684210526315
265;278;233;87.17105263157895;91.44736842105263;76.64473684210526
266;279;235;87.5;91.77631578947368;77.30263157894737
